	0	1	Score
792	['chair']	"# 1. We start with i = 0 and nums[i] = 0.
# 2. nums[i] = 0 is not equal to nums[nums[i]], so we swap nums[i] and nums[nums[i]]
# 3. nums[i] = 0 and nums[nums[i]] = 0, so we increment i to 1.
# 4. nums[i] = 1 and nums[nums[i]] = 0, so we swap nums[i] and nums[nums[i]]
# 5. nums[i] = 0 and nums[nums[i]] = 1, so we increment i to 2.
# 6. nums[i] = 2 and nums[nums[i]] = 0, so we swap nums[i] and nums[nums[i]]
# 7. nums[i"	0
793	['danger']	"# 1. i = 0, j = 0, nums[i] = 0, nums[j] = 0, nums[0] = 0
# 2. i = 0, j = 0, nums[i] = 0, nums[j] = 0, nums[0] = 0
# 3. i = 0, j = 0, nums[i] = 0, nums[j] = 0, nums[0] = 0
# 4. i = 0, j = 0, nums[i] = 0, nums[j] = 0, nums[0] = 0
# 5. i = 0, j = 0, nums[i] = 0, nums[j] = 0, nums[0] = 0
# 6. i = 0, j = 0, nums[i] = 0, nums[j] = 0, nums[0]"	0
794	['fruit']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
795	['rich']	"# 1. i = 0
# 2. j = nums[i]
# 3. nums[i] < len(nums) and nums[i] != nums[j]
# 4. nums[i], nums[j] = nums[j], nums[i]
# 5. i += 1
# 6. i = 0
# 7. i != nums[i]
# 8. return i
# 9. return len(nums)
# 
# 
# Explanation of rich does in natural language one by one 2.
# 
# 1. i = 0
# 2. j = nums[i]
# 3. nums[i] < len(nums) and nums[i] != nums[j]
# 4. nums[i], nums[j] = nums[j], nums[i]
# 5"	0
796	['thick']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="	0
797	['soldier']	"# 1. We start with i = 0 and j = 0.
# 2. We check if nums[i] != i.
# 3. We swap nums[i] and nums[j]
# 4. We increment i by 1 and j by 1.
# 5. We check if nums[i] != i.
# 6. We swap nums[i] and nums[j]
# 7. We increment i by 1 and j by 1.
# 8. We check if nums[i] != i.
# 9. We swap nums[i] and nums[j]
# 10. We increment i by 1 and j by 1.
# 11. We check if nums[i] != i.
# 12. We swap nums[i] and nums[j]
# 13. We increment i by 1 and j by 1.
# 14. We check if nums"	1
798	['process']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
799	['operate']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = 1
# 4. nums[1] = 2
# 5. nums[2] = 3
# 6. nums[3] = 4
# 7. nums[4] = 5
# 8. nums[5] = 6
# 9. nums[6] = 7
# 10. nums[7] = 8
# 11. nums[8] = 9
# 12. nums[9] = 10
# 13. nums[10] = 11
# 14. nums[11] = 12
# 15. nums[12] = 13
# 16. nums[13] = 14
# 17. nums[14] = 15
# 18. nums[15] = 16
# 19. nums[16] = 17
# 20"	0
800	['guess']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
801	['necessary']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
802	['sharp']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] != nums[0] = 0
# 4. nums[0], nums[0] = 0, 0
# 5. i = 1
# 6. j = nums[1] = 1
# 7. nums[1] = 1, nums[1] != nums[1] = 1
# 8. nums[1], nums[1] = 1, 1
# 9. i = 2
# 10. j = nums[2] = 2
# 11. nums[2] = 2, nums[2] != nums[2] = 2
# 12. nums[2], nums[2] = 2, 2
# 13. i = 3
# 14. j = nums[3] ="	0
803	['wing']	"# 1. i = 0, nums = [1,2,0]
# 2. i = 0, j = nums[0] = 1, nums = [1,2,0]
# 3. i = 0, nums[0] = 1, nums[1] = 2, nums = [1,2,0]
# 4. i = 1, j = nums[1] = 2, nums = [1,2,0]
# 5. i = 1, nums[1] = 2, nums[2] = 0, nums = [1,2,0]
# 6. i = 2, nums[2] = 0, nums[0] = 1, nums = [1,2,0]
# 7. i = 2, nums[2] = 0, nums[1] = 2, nums = [1,2,"	0
804	['create']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="	0
805	['neighbor']	# 1. i = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0,	0
806	['wash']	"# 1. i = 0, nums = [1, 2, 0]
# 2. j = nums[0] = 1, nums = [1, 2, 0]
# 3. nums[0] = 1, nums[1] = 2, nums[2] = 0, nums = [1, 2, 0]
# 4. i = 1, nums = [1, 2, 0]
# 5. j = nums[1] = 2, nums = [1, 2, 0]
# 6. nums[1] = 2, nums[2] = 0, nums = [1, 2, 0]
# 7. i = 2, nums = [1, 2, 0]
# 8. j = nums[2] = 0, nums = [1, 2, 0]
# 9. nums[2] = 0, nums"	0
807	['bat']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="	0
808	['rather']	"# 1. i = 0
# 2. j = nums[i]
# 3. nums[i] < len(nums) and nums[i] != nums[j]
# 4. nums[i], nums[j] = nums[j], nums[i]
# 5. i += 1
# 6. i = 0
# 7. i != nums[i]
# 8. return i
# 9. return len(nums)
# 
# 
# 1. i = 0
# 2. j = nums[i]
# 3. nums[i] < len(nums) and nums[i] != nums[j]
# 4. nums[i], nums[j] = nums[j], nums[i]
# 5. i += 1
# 6. i = 0
# 7. i != num"	0
809	['crowd']	"# 1. We start with i = 0 and while i < len(nums)
# 2. We swap nums[i] with nums[nums[i]]
# 3. If nums[i] != nums[nums[i]] then we swap nums[i] with nums[nums[i]]
# 4. If nums[i] == nums[nums[i]] then we increment i by 1
# 5. We repeat step 2 and 3 until i < len(nums)
# 6. We return len(nums)
# 
# Explanation of crowd does in natural language one by one 2.
# 
# 1. We start with i = 0 and while i < len(nums)
# 2. We swap nums[i] with nums[nums[i]]
# 3. If nums[i] != nums[nums[i]]"	1
810	['corn']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="	0
811	['compare']	# 1. i = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0,	0
812	['poem']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
813	['string']	"# 1. We have a list of numbers.
# 2. We start at the first number.
# 3. We check if the number is in the correct index.
# 4. If the number is not in the correct index, we swap the number with the number in the correct index.
# 5. We keep going until we reach the end of the list.
# 6. We return the index of the number that is not in the correct index.
# 
# 
# Explanation of string does in natural language one by one 2.
# 
# 1. We have a list of numbers.
# 2. We start at the first number.
# 3. We check if the number is in the correct index.
# 4. If the number is not in the correct index, we swap the number with the number in the correct index.
# 5. We keep going until we reach the end of the list.
# 6. We return the"	1
814	['bell']	"# 1. We start with i = 0 and j = 0.
# 2. We check if nums[i] != i.
# 3. If it is, then we swap the elements at index i and j.
# 4. If it is not, then we increment i by 1.
# 5. We repeat steps 2 to 4 until i < len(nums).
# 6. We return the value of i.
# 
# Time complexity: O(n)
# 
# Space complexity: O(1)

# **Solution 2: Hash Set**
# 
# We can also use a hash set to keep track of the numbers we have seen so far.
# 
# 1. We iterate over the array nums and for each number i we check whether it is in the hash set.
# 2. If it is, then we remove it from the hash set.
# 3. If it is not,"	1
815	['depend']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="	0
816	['meat']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
817	['rub']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
818	['tube']	"# 1. We start with i = 0 and while i < len(nums)
# 2. We swap the value of nums[i] with nums[nums[i]] if nums[i] < len(nums) and nums[i] != nums[nums[i]]
# 3. We increment i by 1
# 4. If i == nums[i] we increment i by 1
# 5. If i != nums[i] we return i
# 6. If i == len(nums) we return len(nums)
# 
# Time Complexity: O(n)
# Space Complexity: O(1)

# **Solution 2:**
# Python 3 
def find_missing_number(nums):
    i = 0
    while i < len(nums):
        j = nums[i]
        if nums[i]"	0
819	['famous']	"# 1. i = 0
# 2. j = nums[i]
# 3. nums[i] < len(nums) and nums[i] != nums[j]
# 4. nums[i], nums[j] = nums[j], nums[i]
# 5. i += 1
# 6. i = 0
# 7. i != nums[i]
# 8. return i
# 9. return len(nums)
# 
# 
# 1. i = 0
# 2. j = nums[i]
# 3. nums[i] < len(nums) and nums[i] != nums[j]
# 4. nums[i], nums[j] = nums[j], nums[i]
# 5. i += 1
# 6. i = 0
# 7. i != num"	0
820	['dollar']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
821	['stream']	"# 1. We start with an empty list.
# 2. We start with an index i = 0.
# 3. We take the value of the index i and assign it to j.
# 4. We check if the value of j is less than the length of the list and if the value of j is not equal to the value of the index i.
# 5. If the value of j is less than the length of the list and if the value of j is not equal to the value of the index i, we swap the values of the index i and the value of the index j.
# 6. If the value of j is not less than the length of the list or if the value of j is equal to the value of the index i, we increment i by 1.
# 7. We repeat steps 3-6 until we have iterated through the entire list.
# 8. We return the value of the index i.
# 
# Explanation"	1
822	['fear']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="	0
823	['sight']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
824	['thin']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = 1
# 4. nums[1] = 2
# 5. nums[2] = 3
# 6. nums[3] = 4
# 7. nums[4] = 5
# 8. nums[5] = 6
# 9. nums[6] = 7
# 10. nums[7] = 8
# 11. nums[8] = 9
# 12. nums[9] = 10
# 13. i = 1
# 14. j = nums[1]
# 15. nums[1] = 2
# 16. nums[2] = 3
# 17. nums[3] = 4
# 18. nums[4] = 5
# 19. nums[5] = 6
# 20. nums["	0
825	['triangle']	"# 1. We start with the first element in the list.
# 2. We check if the first element is less than the length of the list and if the first element is not equal to the element at the index of the first element.
# 3. If the above condition is true, we swap the element at the index of the first element with the element at the first element.
# 4. We then increment the index by 1.
# 5. If the above condition is false, we increment the index by 1.
# 6. We repeat the above steps until we have reached the end of the list.
# 7. We then check if the index is equal to the element at the index.
# 8. If the above condition is true, we increment the index by 1.
# 9. If the above condition is false, we return the index.
# 10. We then repeat the above steps for all the elements in the list.
# 11. If we have"	1
826	['planet']	"# 1. We start with i = 0
# 2. We check if the value of i is less than the length of the list and if the value of i is not equal to the value of the element at index i.
# 3. If the above condition is true, we swap the element at index i with the element at index j.
# 4. Else we increment i by 1.
# 5. We repeat the above steps until i < len(nums) and i != nums[i]
# 6. If the above condition is true, we return i.
# 7. Else we return len(nums).
# 
# Time complexity: O(n)
# 
# Space complexity: O(1)

# Python 3 
def find_missing_number(nums):
    i = 0
    while i < len(nums):
        j = nums[i]
        if nums[i"	1
827	['hurry']	"# 1. i = 0, nums = [1, 2, 0]
# 2. i = 0, nums = [2, 1, 0]
# 3. i = 1, nums = [2, 0, 1]
# 4. i = 2, nums = [2, 0, 1]
# 5. i = 0, nums = [2, 0, 1]
# 6. i = 0, nums = [0, 2, 1]
# 7. i = 1, nums = [0, 2, 1]
# 8. i = 2, nums = [0, 2, 1]
# 9. i = 0, nums = [0, 2, 1]
# 10. i = 0, nums = [0, 1, 2]
# 11. i = 1, nums = [0, 1, 2]
# 12. i = 2, nums"	0
828	['chief']	"# 1. i = 0
# 2. j = nums[i]
# 3. nums[i] < len(nums) and nums[i] != nums[j]
# 4. nums[i], nums[j] = nums[j], nums[i]
# 5. i += 1
# 6. i = 0
# 7. i != nums[i]
# 8. return i
# 9. return len(nums)
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
#"	0
829	['colony']	"# 1. We start with i = 0 and j = 0.
# 2. We check if nums[i] is less than the length of nums and if nums[i] is not equal to nums[j].
# 3. If the above condition is true, we swap the elements at index i and j.
# 4. Else, we increment i by 1.
# 5. We repeat the above steps until i is equal to the length of nums.
# 6. If we reach the end of the loop, we return the length of nums.
# 7. If we don't reach the end of the loop, we return the value of i.
# 
# Time complexity: O(n)O(n). We iterate over the list containing nnn elements only once.
# 
# Space complexity: O(1)O(1). Constant extra space is used.

# Python 3 
def find_"	1
830	['clock']	"# 1. We start with a list of numbers from 0 to n-1.
# 2. We start with a variable i set to 0.
# 3. We set a variable j to the value of the number at index i in the list.
# 4. If the number at index i in the list is not equal to the value of the index j, we swap the number at index i with the number at index j.
# 5. We increase i by 1.
# 6. We go back to step 2.
# 
# The while loop will run until i is equal to the length of the list.
# 
# The for loop will run once for each element in the list.
# 
# The for loop will run until i is equal to the length of the list.
# 
# The for loop will run once for each element in the list.
# 
# The for loop will run until i is equal to the length"	1
831	['mine']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
832	['tie']	# 1. i = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0,	0
833	['enter']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="	0
834	['major']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
835	['fresh']	"# 1. i = 0
# 2. j = nums[i]
# 3. nums[i] < len(nums) and nums[i] != nums[j]
# 4. nums[i], nums[j] = nums[j], nums[i]
# 5. i += 1
# 6. for i in range(len(nums))
# 7. if i != nums[i]
# 8. return i
# 9. return len(nums)
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
#"	0
836	['search']	# 1. i = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0, nums[0] = 0,	0
837	['send']	"# 1. i = 0
# 2. j = nums[0]
# 3. nums[0] = 1
# 4. nums[1] = 2
# 5. nums[2] = 3
# 6. nums[3] = 4
# 7. nums[4] = 5
# 8. nums[5] = 6
# 9. nums[6] = 7
# 10. nums[7] = 8
# 11. nums[8] = 9
# 12. nums[9] = 10
# 13. i = 1
# 14. j = nums[1]
# 15. nums[1] = 2
# 16. nums[2] = 3
# 17. nums[3] = 4
# 18. nums[4] = 5
# 19. nums[5] = 6
# 20. nums["	0
838	['yellow']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] != nums[0] = 0
# 4. nums[0], nums[0] = 0, 0
# 5. i = 1
# 6. j = nums[1] = 1
# 7. nums[1] = 1, nums[1] != nums[1] = 1
# 8. nums[1], nums[1] = 1, 1
# 9. i = 2
# 10. j = nums[2] = 2
# 11. nums[2] = 2, nums[2] != nums[2] = 2
# 12. nums[2], nums[2] = 2, 2
# 13. i = 3
# 14. j = nums[3] ="	0
839	['gun']	"# 1. We start with i = 0 and nums[0] = 0.
# 2. nums[i] = 0 is not equal to nums[nums[i]] = nums[0] = 0.
# 3. Swap nums[0] and nums[0] = nums[0] = 0.
# 4. Increment i to 1.
# 5. nums[i] = 1 is not equal to nums[nums[i]] = nums[1] = 1.
# 6. Swap nums[1] and nums[1] = nums[1] = 1.
# 7. Increment i to 2.
# 8. nums[i] = 2 is not equal to nums[nums[i]] = nums[2] = 2.
# 9. Swap nums[2] and nums[2] = nums[2] ="	0
840	['allow']	"# 1. i = 0, nums = [1,2,0]
# 2. i = 0, nums = [2,1,0]
# 3. i = 0, nums = [1,0,2]
# 4. i = 1, nums = [0,2,1]
# 5. i = 2, nums = [0,1,2]
# 6. i = 2, nums = [0,1,2]
# 7. i = 2, nums = [0,1,2]
# 8. i = 2, nums = [0,1,2]
# 9. i = 2, nums = [0,1,2]
# 10. i = 2, nums = [0,1,2]
# 11. i = 2, nums = [0,1,2]
# 12. i = 2, nums"	0
841	['print']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="	0
842	['dead']	"# 1. i = 0, nums = [1,2,0]
# 2. i = 0, nums = [1,2,0], j = nums[0] = 1
# 3. nums[0] = 1, nums[1] = 2, nums[2] = 0
# 4. nums[0] = 1, nums[1] = 2, nums[2] = 0
# 5. i = 1, nums = [1,2,0]
# 6. i = 1, nums = [1,2,0], j = nums[1] = 2
# 7. nums[1] = 2, nums[2] = 0
# 8. nums[1] = 2, nums[2] = 0
# 9. i = 2, nums = [1,2,0]
# 10. i = 2,"	0
843	['spot']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
844	['desert']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
845	['suit']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] = 0
# 4. i = 1
# 5. j = nums[1] = 1
# 6. nums[0] = 0, nums[1] = 1
# 7. i = 2
# 8. j = nums[2] = 2
# 9. nums[0] = 0, nums[2] = 2
# 10. i = 3
# 11. j = nums[3] = 3
# 12. nums[0] = 0, nums[3] = 3
# 13. i = 4
# 14. j = nums[4] = 4
# 15. nums[0] = 0, nums[4] = 4
# 16. i = 5
# 17. j ="	0
846	['current']	"# 1. i = 0
# 2. j = nums[0] = 0
# 3. nums[0] = 0, nums[0] != nums[0] = 0
# 4. nums[0], nums[0] = 0, 0
# 5. i = 1
# 6. j = nums[1] = 1
# 7. nums[1] = 1, nums[1] != nums[1] = 1
# 8. nums[1], nums[1] = 1, 1
# 9. i = 2
# 10. j = nums[2] = 2
# 11. nums[2] = 2, nums[2] != nums[2] = 2
# 12. nums[2], nums[2] = 2, 2
# 13. i = 3
# 14. j = nums[3] ="	0
